,A,B,C
0,0.008537284552420584,-0.9966554214849205,-1.0175151190331722
1,0.014044242080030939,-0.9967700495651165,-1.0174439304880551
2,-0.007210041494838078,-1.0079125922956362,-1.0062450191595813
3,-0.0006737172753425763,-0.9855215232338094,-1.0284299779402812
4,7.407711896257468e-05,-1.0191495123564929,-1.0174007883722913
5,0.0005772320576967402,-0.9745721610439819,-1.0171807281227974
6,-0.011461737730526961,-1.030233619094249,-1.0060951870828194
7,0.010796227603220432,-0.9636135977713304,-1.0281421669471908
8,0.0012266751425084555,-1.0409129705917446,-0.9949807071004618
9,-0.001461994307052429,-0.975209849242928,-1.0390626324829924
10,0.005439994191420767,-1.0291923038947388,-1.006168678652852
11,0.009323968864583277,-0.9866260794964259,-1.0499546703648814
12,-0.003887080462556229,-1.0401168691748162,-0.9951170886323543
13,0.020616392175525435,-0.9754790339537741,-1.0384096680111168
14,-0.015156216065761672,-1.0283578531917512,-1.0061502035031764
15,6.696388365276529e-05,-0.9867374970121164,-1.0492835644973273
16,-0.026454349428989707,-1.0392986393916113,-0.9950393694711994
17,0.011363932131959548,-0.9756099382821048,-1.0599948656540272
18,-0.01515394575809852,-1.0501207191278494,-1.0062714889273117
19,6.538311535756066e-05,-0.9646070968770096,-1.0486164756144525
20,-0.003854328712844028,-1.060690686149815,-0.995146092191565
21,-0.005286250401867475,-0.9760443565837056,-1.05935444727017
22,0.007444113345995239,-1.0713947447824352,-1.0063011437601765
23,-0.0165843057860213,-0.9651725267068989,-1.0478554459772875
24,-0.0038534396861985665,-1.0594283103235556,-1.0173428334834949
25,-0.0052856422655242616,-0.976589021599074,-1.0363555130603928
26,-0.01515073015016297,-1.0700534230930858,-1.006017299941695
27,-0.016584068527560572,-0.9656203016878024,-1.0472390120395825
28,-0.0038521487985641754,-1.0580765139329522,-0.994840343614392
29,-0.0052855955891738995,-0.976887444764386,-1.0580211971098274
30,-0.015146963804834379,-1.0685472465020056,-0.9838107155931434
31,-0.01658350823836444,-0.9882616496158975,-1.0687288561324475
32,-0.0038484912280700423,-1.0566718306703378,-0.9728216144190686
33,-0.027879969935138263,-0.9993857513016632,-1.0794525329739837
34,-0.01514682537353365,-1.0673040547383734,-0.9618138872578207
35,-0.016581456292713122,-1.0104854372175944,-1.0899626250375931
36,-0.02644478090177192,-1.078031766841361,-0.9731767799285816
37,-0.005191164258341087,-0.9992691031233634,-1.078296381399027
38,-0.015146149290028612,-1.0662742154164588,-0.9844715378688528
39,-0.01518663485167246,-1.010468897555988,-1.0667388376901885
40,-0.0038457539272135364,-1.0545826601456247,-0.9956904892558178
41,-0.02648321306220614,-0.9991997008567244,-1.0552689441855492
42,0.007452675297210877,-1.065243664189074,-0.9846409251326954
43,-0.037781431337976054,-1.0103281884131279,-1.0438074843831595
44,0.0187506808926717,-1.0535733644021954,-0.9735959443271661
45,-0.026482150161899587,-0.9990328345403954,-1.0546665304047829
46,0.007452173044482852,-1.064264052917678,-0.9625784803190857
47,-0.015183588806217067,-0.987739508848297,-1.0653798890365396
48,-0.0038462832961319786,-1.0749060515051,-0.9738813601379094
49,-0.0038851448506460186,-0.97656844022315,-1.0539044387333143
50,-0.015144375817828603,-1.0855667147622774,-0.9851799473432631
51,-0.015183554740930211,-0.9654602818517242,-1.0425423224897976
