,x,y,z
0,-0.0027611382642513,-0.9854362007666636,-1.0063710173377096
1,0.013176959942975243,-0.9876203137268098,-1.0066243023756727
2,-0.00540962848390506,-0.9856921230394812,-1.0093062387695555
3,-0.008693781377400813,-0.9851548997421578,-1.0102410586333328
4,-0.009247761817567405,-0.9851347097425165,-1.0100201672979698
5,-0.004873882545926241,-0.9857708667098479,-1.0077518547526239
6,-0.008292947299873552,-0.9883757062714593,-1.0078649987987436
7,-0.009545942657970423,-0.9886080631181342,-1.0114142641838348
8,-0.001677837540858723,-0.9869306797116929,-1.008288322584443
9,-0.0022972381371907697,-0.986557206063776,-1.0057017339071996
10,-0.0027631089953958285,-0.9849456231358066,-1.0075433567321503
11,-0.0028751888343170055,-0.9861775082787643,-1.0077110534393603
12,-0.0018880203725458893,-0.9860102403253488,-1.009718541077385
13,-0.003659409928544811,-0.9818062582299286,-1.0120664043827152
14,-0.000687243175302836,-0.9805635238805621,-1.011006685089978
15,3.8979747148460905e-05,-0.9844083587290025,-1.0091571182252852
16,-0.0037634864663658907,-0.984381033976649,-1.008360416874827
17,-0.0036330412990252256,-0.9813299726735635,-1.008794085040936
18,-0.002623041593873868,-0.9803798190705104,-1.0098821860700915
19,-0.004444626955546889,-0.981447200212315,-1.0086614314974205
20,-0.0017075332161131176,-0.9840886548833548,-1.0052915074700726
21,-3.5014182088234126e-05,-0.9835490003884355,-1.0054427779393524
22,0.0016212080824301199,-0.9796837217987617,-1.0059609988279283
23,-0.00012620063583894555,-0.9748555162883622,-1.0047968677366435
24,0.0011711034470835125,-0.976221882844616,-1.0059935454773306
25,-0.0003698657359822308,-0.9785759120328635,-1.0044719411344927
26,-0.0026590473099806066,-0.9786443115931102,-1.005725583732817
27,-0.002224234106726685,-0.9799818773232141,-1.00861451211622
28,0.004393696397065857,-0.9843836796428906,-1.0073567180718028
29,0.0024103929785833107,-0.9843067282492792,-1.006504091480222
30,0.00015041523337460143,-0.9805278959811975,-1.0074361752860743
31,-0.0005864296523374207,-0.9801613830221599,-1.0069982221639826
32,0.00038903659223253894,-0.9792671659666926,-1.003140788134806
33,-0.001085535919664002,-0.9806057617777012,-0.9996899664196036
34,-0.001332702594572878,-0.9766424971922104,-1.0061345850552887
35,-0.0002722789450969956,-0.9791922595079093,-1.0107534879372408
36,-0.0008614205551827751,-0.9847388149413451,-1.0086408531436764
37,0.00019280135523517595,-0.981717591075566,-1.0105974601776864
38,0.0024732369928311005,-0.9802672862635448,-1.0068749565318047
39,-7.8334111247318e-05,-0.9808407744588875,-1.00528198833254
40,-0.0026223294758279327,-0.977319545674337,-1.0074961239426865
41,-0.0034577320347034027,-0.9742794698416777,-1.0092178072566296
42,-0.0006992180913832943,-0.9806751081284991,-1.009298826600925
43,-0.0009024934223209675,-0.979047053513537,-1.0072096658028202
44,-0.002281112709761133,-0.9766803644317651,-1.0083772965676427
45,0.001076623115072666,-0.9790894475953655,-1.0089878619413317
46,0.005014428428294911,-0.9794275495640232,-1.0065049254341987
47,0.0032599564642216464,-0.9808690140319968,-1.0059408026155257
48,0.0016529211387904452,-0.9811435476646463,-1.0038024369235947
49,0.005438540107032429,-0.9798320324740777,-1.0047592425173246
50,0.0038711001233103933,-0.9782815508296686,-1.0096313840691875
51,0.001886151323214445,-0.977766092806171,-1.0066179088270255
52,0.0010255761289950794,-0.9787902142935004,-1.0046950919504145
53,0.00255803679036846,-0.9764107893681806,-1.0039991701214013
54,0.0030084162175297224,-0.9749374986586664,-1.0050527914258451
55,-0.0006694333098207193,-0.9725017441670085,-1.0056609812439157
56,0.0035849185587866635,-0.9686146694671091,-1.004144184570147
57,-0.000783364073691674,-0.9724339244032125,-1.0029448825201062
58,-0.006659823915417216,-0.976173739255735,-1.0046375364181142
59,0.0034844306397854136,-0.9760691977957592,-1.008084566300386
60,-0.00031525678117910044,-0.9751654909150987,-1.005642686594652
61,-0.0035883677091481775,-0.9751805523664729,-1.0060108922157451
62,-0.0019817698969504956,-0.9737017169015038,-1.0056767334142636
63,-0.0015828231340065367,-0.9694123230208587,-1.0046226317272595
64,-0.004385394508090994,-0.9734687763040258,-1.0048352195950734
65,-0.0022214171073269857,-0.9813170802515557,-1.0046906537181883
66,-0.0007556436219409844,-0.9811188473523934,-1.0088325008722168
67,0.0013825479063571666,-0.9789517861872343,-1.0111585524082785
68,0.004526105209392827,-0.9754102166772908,-1.0086512115671773
69,0.004783987763001545,-0.9775220460178544,-1.0052855242729752
70,-0.00013985342688029858,-0.9799170915682729,-1.0064393512507348
71,-7.1016580976478e-05,-0.9753397887614562,-1.0077389703553365
72,-0.002949812314851159,-0.9776489401423115,-1.004149321443075
73,-0.002346619389725848,-0.974940178151316,-1.0010701301684306
74,-0.0014183803880952787,-0.9679688881133391,-1.0026392783330336
75,-0.0015013045565335963,-0.9669750889759011,-1.0025103257889751
76,-8.288738636292041e-05,-0.9670059788269256,-1.006040492310508
77,-0.0012140738264001562,-0.9702272694996844,-1.0082398857187778
78,0.0023294601237475758,-0.9710105372232858,-1.0028256940986116
