,A,B,C
0,0.008537284552420584,-0.9966554214849205,-1.0175151190331722
1,0.014044242080030939,-0.9967700495651165,-1.0174439304880551
2,-0.005567935896517015,-1.0080259989479008,-1.0061744089847051
3,-0.016763554554406267,-0.9966518917906977,-1.017248190179243
4,-0.007088513829124824,-1.0080040894038447,-1.028320714362603
5,-0.0014495064468341493,-0.9968173329444456,-1.0170723098806316
6,-0.01294025857273769,-1.00812706378626,-1.005769321260102
7,-0.002210889252441929,-0.9968130790579471,-1.01681757077482
8,0.008407694024428319,-1.0078414604923374,-1.0056212534481679
9,-0.003478026139069196,-1.019001143813542,-1.0167088595978142
10,0.002904406151680465,-1.0075084857061847,-1.02773769056614
11,0.013190018163000711,-1.0186082654469613,-1.0387115556061952
12,5.4135252014408334e-05,-1.0296348580325616,-1.0274230127553978
13,0.01138816507352887,-1.018054294652828,-1.0160481794653964
14,-4.3970081920125605e-05,-1.0065185841269784,-1.026926140524404
15,4.848434117170862e-05,-1.0174753894825344,-1.0378812393048589
16,-0.011249906242370447,-1.0285170871364784,-1.0265423933926523
17,4.813732840020768e-05,-1.0169865023992455,-1.0374159044130526
18,0.01134421900378224,-1.0280126045540572,-1.0483591060356332
19,4.567019742292112e-05,-1.0165159450850545,-1.037060211156033
20,0.011342595263724336,-1.027397192634824,-1.025718864816271
21,1.536218945336789e-06,-1.0382681191183731,-1.0366152849742996
22,0.011299954154898779,-1.0491676172301063,-1.0474891732344982
23,1.6360370993124805e-06,-1.0376533691205738,-1.0360718763610304
24,-0.011294846722364747,-1.0259962738756823,-1.046912232155169
25,3.699769934562059e-06,-1.03688228042896,-1.0354188516734966
26,-0.011293942954955746,-1.0477013415222707,-1.0239672666374426
27,-0.02259235671735074,-1.036117289992386,-1.0349319583690646
28,-0.011293664912998104,-1.024443644768824,-1.0235599688887584
29,4.796583588808911e-06,-1.0351984655296758,-1.0344967582403761
30,-0.011290839187401607,-1.0458666438782716,-1.0232090349309573
31,-0.022588506175971364,-1.0566788313525468,-1.0341416451687586
32,-0.01129001587704013,-1.0449045981855474,-1.022826134354715
33,-0.022586894204682625,-1.055557246431587,-1.0338363891200706
34,-0.03388500674855111,-1.0661985315153277,-1.0224266584628168
35,-0.022586476198040297,-1.0767595430985022,-1.033302950203713
36,-0.03388426526455054,-1.087414406934253,-1.0442244320605163
37,-0.02220414230383669,-1.0755921623466702,-1.0328459500744998
38,-0.01090554760509758,-1.0638537326282091,-1.0437773069910574
39,-0.020447042315803025,-1.074560903377804,-1.032432475412198
40,-0.009144605823367557,-1.062804902348726,-1.0433622940219613
41,-0.020441655248169103,-1.0511305945606708,-1.03203419550869
42,-0.009143068824587632,-1.0618180988647123,-1.0207647649249492
43,-0.02044141176399006,-1.072474559871026,-1.009514122573024
44,-0.0091429379871561,-1.0607497109904747,-0.9983173492370946
45,0.0021555567420730878,-1.0490728921964874,-1.009443328978523
46,-0.009142458096707188,-1.0597970573974516,-0.9982068181023157
47,0.0021560109634723157,-1.0480407129321758,-1.0092560922860137
48,-0.00914242649810858,-1.058800984025856,-1.0202870313643189
49,0.002156014003276875,-1.0471016919213858,-1.0090746162331992
50,-0.00914217059045052,-1.0579580107229682,-1.0201750884705498
51,-0.02044055815489065,-1.0462504088762083,-1.009004801591394
